"TopAnnonces";"1";"08/06/2015";"43952442";"PARIS 8e";"75008";"T4";"5900";"	Rue jean goujon. Appartement familial de 169m² au plan parfait. Parquet, moulures et cheminées. Prestations de qualité. Parking inclus. Au 4ème étage d'un bel haussmannien, cet appartement 4 pièces possède le charme de l'ancien grâce à ses cheminées d'époque, son marbre au sol et son plafond à caissons. Il est composé d'une belle réception, une cuisine indépendante tout équipée, trois chambres et deux salles de bains. Jolie vue sur jardin. Réf. annonce : GV/AF/5729/L:point virgule::saut ligne::saut paragraphe:	    ";"Location appartement 4 pièces 169 m² PARIS 8e (75008) - Petite annonce gratuite";"PROFESSIONNEL";"";"http://cdn.topannonces.fr/topannonces-images-622-480/ads/6d0/5/6d05ff67-03a0-4d1d-b7cd-19da0332f8c4-1.jpg";"http://www.topannonces.fr/pro/annonce-location-appartement-v43952442.html";"";"0140700303"
"TopAnnonces";"1";"08/06/2015";"45637143";"LION SUR MER";"14780";" bureau, commerce 45 m² LION SUR MER (14780) - Petite annonce gratuite";"355";"	Lion sur mer dans le centre ville de lion sur mer, local commercial 2 pièces de 45 m² disponible de suite loyer : 350 € - charges : 5 € - ddg : 350 € - fa : 250 € ce bien est soumis au statut de copropriété. Réf. annonce : 170415-1030:point virgule::saut ligne::saut paragraphe:	    ";"Location bureau, commerce 45 m² LION SUR MER (14780) - Petite annonce gratuite";"PROFESSIONNEL";"";"http://cdn.topannonces.fr/topannonces-images-622-480/ads/8c9/7/8c975ced-645e-4c1d-91b5-f8293e85d458-1.jpg";"http://www.topannonces.fr/pro/annonce-location-bureau-commerce-v45637143.html";"";"0231361825"
"TopAnnonces";"1";"08/06/2015";"45940125";"LANGRUNE SUR MER";"14830";"T2";"350";"	Langrune sur mer appartement f1 bis au 1er étage. Comprenant : séjour avec coin cuisine. En duplex une chambre en mezzanine, salle d'eau avec wc. Loyer : 350 € - ddg : 350 € - fa : 200 € libre de suite Réf. annonce : 284-1030:point virgule::saut ligne::saut paragraphe:	    ";"Location appartement 2 pièces 29 m² LANGRUNE SUR MER (14830) - Petite annonce gratuite";"PROFESSIONNEL";"";"http://cdn.topannonces.fr/topannonces-images-622-480/ads/4d1/a/4d1a12fb-612e-4a65-9d9c-b2c2686aac1c-1.jpg";"http://www.topannonces.fr/pro/annonce-location-appartement-v45940125.html";"";"0231361825"
"TopAnnonces";"1";"08/06/2015";"46208549";"ST AUBIN SUR MER";"14750";"T2";"545";"	F2 en rdc st aubin sur mer comprenant : séjour, cuisine aménagée, salle de bains avec wc, chambre. Cave et jardin. Loyer : 440 € charges : 105 € (charges copro + eau froide) depot de garantie : 440 € horaires d'agence : 340 € libre le 1er juillet 2015 ce bien est soumis au statut de copropriété. Réf. annonce : 142-1030:point virgule::saut ligne::saut paragraphe:	    ";"Location appartement 2 pièces 35 m² ST AUBIN SUR MER (14750) - Petite annonce gratuite";"PROFESSIONNEL";"";"http://cdn.topannonces.fr/topannonces-images-622-480/ads/dd3/c/dd3c94c5-d005-482b-a007-804a02bd350b-1.jpg";"http://www.topannonces.fr/pro/annonce-location-appartement-v46208549.html";"";"0231361825"
"TopAnnonces";"1";"08/06/2015";"46257451";"ST AUBIN SUR MER";"14750";"T2";"372";"	Appartement f2 centre de st aubin sur mer comprenant : séjour, cuisine, chambre, salle d'eau, wc. Loyer : 372 € - depot de garantie : 372 € - honoraires de location : 290 € libre le 24 aout 2015 Réf. annonce : 209-1030:point virgule::saut ligne::saut paragraphe:	    ";"Location appartement 2 pièces 40 m² ST AUBIN SUR MER (14750) - Petite annonce gratuite";"PROFESSIONNEL";"";"http://cdn.topannonces.fr/topannonces-images-622-480/ads/fff/5/fff506e4-14f7-443a-9743-16d0989adae2-1.jpg";"http://www.topannonces.fr/pro/annonce-location-appartement-v46257451.html";"";"0231361825"
"TopAnnonces";"1";"08/06/2015";"28511942";"PARIS 8e";"75008";"T6";"10";"	En plein coeur du triangle d'or. Superbe appartement de 190m² entièrement refait à neuf et meublé avec beaucoup d'élégance. Situé au 3ème étage d'un bel immeuble en pierre de taille, cet appartement bénéficie d'un excellent plan d'ensemble avec les pièces de réceptions biens distinctes de l'espace chambre. Il se compose d'une belle entrée, un vaste double séjour avec cheminée, un espace salle à manger intégré, une grande cuisine dinatoire avec son office, la suite parentale avec dressing et salle de douche wc, 2 autres chambres avec une salle de bains wc, de nombreux placards et un wc d'invité. Très beaux volumes. Sol en marbre. Réf. annonce : GV/DA/3614/L:point virgule::saut ligne::saut paragraphe:	    ";"Location appartement 6 pièces 190 m² PARIS 8e (75008) - Petite annonce gratuite";"PROFESSIONNEL";"";"http://cdn.topannonces.fr/topannonces-images-622-480/ads/333/5/3335ef37-c46d-4bca-890a-693dcd1aa489-1.jpg";"http://www.topannonces.fr/pro/annonce-location-appartement-v28511942.html";"";"0140700303"
"TopAnnonces";"1";"08/06/2015";"46286718";"VILLENEUVE LE ROI";"94290";"maison";"1400";"	Nous vous proposons à la location un bean pavillon meulière meublé dans le quartier privilégié de villeneve le roi. Il est édifié sur un sous-sol total avec garage, cave à vin, buanderie chaufferie (gaz) et une salle de jeux avec téléviveur, le rez-de-chaussée est divisé en une entrée, un séjour double avec téléviseur, une cusine équipée, une véranda climatisée avec téléviseur, un water-closet, au premier un palier, deux chambres avec téléviseur, une salle de bains avec douche et jacuzzi, un water-closet et une petite véranda pour lecture. Jouissance d'un jardin. AGENCE LE CHALET Tél. 01.45.97.47.74 Réf. annonce : 123456:point virgule::saut ligne::saut paragraphe:	    ";"Location maison 4 pièces VILLENEUVE LE ROI (94290) - Petite annonce gratuite";"PROFESSIONNEL";"";"http://cdn.topannonces.fr/topannonces-images-622-480/ads/029/3/0293e98b-6c62-4fa5-b5e1-3d2f8e94e89d-1.jpg";"http://www.topannonces.fr/pro/annonce-location-maison-v46286718.html";"";"0145974774"
"TopAnnonces";"1";"08/06/2015";"44178604";"Toulon";"83000";"studio";"460";"	La rode l'aigle t1 rénové de 35 m² avec terrasse. Possibilité de parking (+20€) comprenant : 1 pièces principale , 1 cuisine indépendante, 1 salle d'eau, 1 hall d'entrée , 1 grand placard a voir! Contact : 06.71.27.01.00 Euro-Transactions Tél. 04 94 46 15 02 Réf. annonce : 554L314A-1:point virgule::saut ligne::saut paragraphe:	    ";"Location appartement studio 35 m² Toulon (83000) - Petite annonce gratuite";"PROFESSIONNEL";"";"http://cdn.topannonces.fr/topannonces-images-622-480/ads/8a1/5/8a15401d-0b0b-431d-914f-b6f86fc23cda-1.jpg";"http://www.topannonces.fr/pro/annonce-location-appartement-v44178604.html";"";"0494461502"
"TopAnnonces";"1";"08/06/2015";"46181485";"PARIS 17e";"75017";"T5";"5900";"	Proche wagram et ecole active bilingue. Rue calme. Très bel appartement familial entièrement meublé de 180m². Excellent état. Belles prestations. Au 3ème étage d'un bel immeuble haussmannien, 5 pièces refait à neuf au charme parisien, avec parquet, moulures et cheminées. Il est composé d'une galerie d'entrée, un séjour et une salle à manger sur balcon, un salon / bureau (possibilité 4ème chambre) et une cuisine indépendante équipée aux matériaux haut de gamme. Côté nuit: trois chambres et deux salles de bains. Un parking dans l'immeuble et une cave complètent ce bien. Réf. annonce : GV/DA/5625/L:point virgule::saut ligne::saut paragraphe:	    ";"Location appartement 5 pièces 180 m² PARIS 17e (75017) - Petite annonce gratuite";"PROFESSIONNEL";"";"http://cdn.topannonces.fr/topannonces-images-622-480/ads/a58/4/a584f7b7-4319-4c87-b407-6544b11f078f-1.jpg";"http://www.topannonces.fr/pro/annonce-location-appartement-v46181485.html";"";"0140700303"
"TopAnnonces";"1";"08/06/2015";"43952441";"PARIS 8e";"75008";"T8";"9500";"	Rue jean goujon. Appartement de réception et familial de 301m² au plan parfait. Parquet, moulures et cheminées. Prestations de qualité. Parking. Au 5ème étage d'un bel immeuble en pierre de taille, cet appartement 8 pièces possède le charme de l'ancien grâce à son parquet point de hongrie, belles moulures et cheminées. Il est composé d'une vaste double réception, une salle à manger, une cuisine indépendante dinatoire tout équipée, et cinq chambres avec quatre salles de bains. Volumes, espace et lumière. Parking inclus. Réf. annonce : GV/AF/5730/L:point virgule::saut ligne::saut paragraphe:	    ";"Location appartement 8 pièces 301 m² PARIS 8e (75008) - Petite annonce gratuite";"PROFESSIONNEL";"";"http://cdn.topannonces.fr/topannonces-images-622-480/ads/e75/9/e759b92f-ccad-4936-88b8-7da08ed7cc8e-1.jpg";"http://www.topannonces.fr/pro/annonce-location-appartement-v43952441.html";"";"0140700303"
"TopAnnonces";"1";"08/06/2015";"46102042";"COLAYRAC ST CIRQ";"47450";"T3";"480";"	Dans un cadre de verdure agréable, à cinq minutes du centre-ville d'agen. Appartement de type trois à proximité des commerces, écoles, pharmacie, transports en commun... Vous offres une belle superficie. Un grand salon/séjour, une cuisine indépendante, deux chambres et une salle d'eau. De plus, un garage vous est réservé. Century21 PASSION IMMOBILIER Tél. 05.67.03.16.41 Réf. annonce : 202_2299_10054:point virgule::saut ligne::saut paragraphe:	    ";"Location appartement 3 pièces 81 m² COLAYRAC ST CIRQ (47450) - Petite annonce gratuite";"PROFESSIONNEL";"";"http://cdn.topannonces.fr/topannonces-images-622-480/ads/456/5/4565caa8-3a98-4cd7-8926-ade0e0901b03-1.jpg";"http://www.topannonces.fr/pro/annonce-location-appartement-v46102042.html";"";"0567031641"
"TopAnnonces";"1";"08/06/2015";"46225126";"PARIS 16e";"75016";"studio";"470";"	Auteuil / exelmans : studio de 9m² en parfait état, entièrement meublé. Dans un immeuble en pierre de taille, charmant studio de 9m² loué meublé au 7ème étage, douche et wc à l'intérieur. Kitchenette, frigo, plan de travail, bar et placards. Canapé lit, chaises. Parfait état. Calme et lumineux, vue dégagée sur les toits de paris. Réf. annonce : GV/BJ/5240/L:point virgule::saut ligne::saut paragraphe:	    ";"Location appartement studio 9 m² PARIS 16e (75016) - Petite annonce gratuite";"PROFESSIONNEL";"";"http://cdn.topannonces.fr/topannonces-images-622-480/ads/2e8/f/2e8f141b-8018-427a-a578-e1914c343cbe-1.jpg";"http://www.topannonces.fr/pro/annonce-location-appartement-v46225126.html";"";"0140700303"
